index	idiom	submission	category	1.Wrong Category	2.Undecidable	3.Low Context	4.Vulgar	5.Incorrect Grammar/   Word Order	6.Incorrect Spelling	7.Meaningless	8.Negative Sentiment	9.Restricted Readers	10.Not-Idiomatic & Not-Literal	11.Quality	12.Notes
2	abbaiare alla luna	come ci si sente ad abbaiare invano alla luna ?	idiom	0	0	0	0	0	0	0	0	0	0	1	
12	abbaiare alla luna	Smettila di abbaiare alla luna, sei una lagna	idiom	0	0	0	0	0	0	0	0	0	0	1	
13	abbaiare alla luna	so che è inutile ma non posso fare a meno di abbaiare alla luna in questa situazione	idiom	0	0	0	0	0	0	0	0	0	0	1	
15	Acchiappare farfalle	A me sembra si stare acchiappando solo farfalle seguendo i tuoi consigli	idiom	0	0	0	0	0	0	0	0	0	0	1	
16	Acchiappare farfalle	Basta acchiappare le farfalle	idiom	0	0	1	0	0	0	0	0	0	0	0	
26	Acchiappare farfalle	Stai acchiappando solo farfalle cercando di riparare quella vecchia lavatrice	idiom	0	0	0	0	0	0	0	0	0	0	1	
31	Ammainare le vele	Ho ammainato la vela oggi	idiom	0	0	1	0	0	0	0	0	0	0	0	
46	Andare a gonfie vele	La mia riabilitazione sta andando a gonfie vele	idiom	0	0	0	0	0	0	0	0	0	0	2	
50	Andare a gonfie vele	non tutto può andare a gonfie vele come speriamo	idiom	0	0	0	0	0	0	0	0	0	0	1	
64	Andare in barca	Durante l'esame sono andata completamente in barca	idiom	0	0	0	0	0	0	0	0	0	0	2	
75	Andare in barca	Quando mi ha detto che Marta non era mai arrivata a destinazione, sono letteralmente andata in barca	idiom	0	0	0	0	0	0	0	0	0	0	2	
86	Attaccare bottone	Ho bisogno di portare questa giacca dalla sarta per farmi attaccare un bottone che è caduto	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
100	Aver la coda di paglia	Il lavoretto di questo natale sarà costruire tante stelle comete che hanno la coda di paglia	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
102	Aver la coda di paglia	Il pupazzo a forma di lupo ha la coda di paglia e il corpo in legno.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
112	Aver la coda di paglia	Non sto di certo parlando di te, per caso hai la coda di paglia?	idiom	0	0	0	0	0	0	0	0	0	0	2	
123	Aver la coda di paglia	Vorrei scusarmi per il mio comportamento ma devo ammettere che avevo la coda di paglia	idiom	0	0	0	0	0	0	0	0	0	0	1	
137	Aver le mani lunghe	Quel mascalzone ha le mani lunghe	idiom	0	0	0	0	0	0	0	0	0	0	1	
151	Buttare giù	Non sfidarmi che ti butto giù subito	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
180	Gettare la spugna	Capite che dovreste gettare voi la spugna?	idiom	0	0	0	0	0	0	0	0	0	0	0	
194	Gettare la spugna	Di getto, hai voluto gettare la spugna, facendo germogliare sensi di colpa dentro di te	idiom	0	0	0	0	0	0	0	0	0	0	2	
198	Gettare la spugna	Dodiom, io voglio gettare la spugna e continuare a chiamarti Diodato	idiom	0	0	0	0	0	0	0	0	1	0	0	
199	Gettare la spugna	Dopo aver finito di pulire ha gettato la spugna nel secchio.	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
205	Gettare la spugna	Dopo un fallimento bisogna rialzarsi più positivi, non gettare la spugna	idiom	0	0	0	0	0	0	0	0	0	0	1	
236	Gettare la spugna	Giuseppe anche se scali la classifica, getta la spugna che tanto non vinci	idiom	0	0	0	0	0	0	0	0	0	0	1	
241	Gettare la spugna	Ha gettato la spugna nel cestino perché era vecchia	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
243	Gettare la spugna	Ha gettato la spugna nella vasca, c'è acqua ovunque!	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
266	Gettare la spugna	L'importante è non demordere, alias non gettare la spugna!	idiom	0	0	0	0	0	0	0	0	0	0	2	
272	Gettare la spugna	La spugna è stata gettata qui	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
276	Gettare la spugna	Luigi non ha alcuna intenzione di gettare la spugna.	idiom	0	0	0	0	0	0	0	0	0	0	1	
285	Gettare la spugna	Non bisogna gettare la spugna nelle battaglie dell'annientamento dell'uomo nel mondo capitalistico	idiom	0	0	0	0	0	0	0	0	0	0	1	
304	Gettare la spugna	Non hai gettato la spugna in modo corretto.	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
307	Gettare la spugna	Non ho mai pensato di gettare la spugna!	idiom	0	0	0	0	0	0	0	0	0	0	1	
310	Gettare la spugna	Non riesco più a studiare oggi, voglio gettare la spugna	idiom	0	0	0	0	0	0	0	0	0	0	1	
314	Gettare la spugna	Non sono capace di non gettare la spugna nei momenti di difficoltà	idiom	0	0	0	0	0	0	0	0	0	0	1	
319	Gettare la spugna	Non è Luca Cheffftony, gettate la spugna	idiom	0	0	0	0	0	0	0	0	0	0	0	
321	Gettare la spugna	Ogni volta che ti rimproverano, getti sempre la spugna	idiom	0	0	0	0	0	0	0	0	0	0	1	
347	Gettare la spugna	Sei tu che mi fai venir voglia di gettare la spugna, Dodiom	idiom	0	0	0	0	0	0	0	0	1	0	0	
348	Gettare la spugna	Sii costante e non gettare mai la spugna	idiom	0	0	0	0	0	0	0	0	0	0	2	
357	Gettare la spugna	Vedendo uomini e donne, credo che non ci sia altra soluzione che gettare la spugna perché il trash non avrà mai fine	idiom	0	0	0	0	0	0	0	0	1	0	0	
372	Ingoiare una pillola	ho ingoiato una pillola per il mal di testa	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
373	Ingoiare una pillola	Lucia non poteva fare altro che ingoiare una pillola e accettare la fine della loro relazione.	idiom	0	0	0	0	0	0	0	0	0	0	1	
382	Mettere dentro	Devo mettere la carne dentro il freezer	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
386	Mettere dentro	Dovrei mettere dentro una scatola tutte le scartoffie	nonidiom	0	0	0	0	0	0	0	0	0	0	1	
389	Mettere dentro	Ho messo dentro il freezer la carne	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
397	Mettere dentro	Metti il sedano dentro pasta e patate	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
410	abbaiare alla luna	Abbaiare alla luna sarà anche inutile ma è una valvola di sfogo	idiom	0	0	0	0	0	0	0	0	0	0	1	
412	abbaiare alla luna	Chiedere alla prof di pubblicare le slide è come abbaiare alla luna	idiom	0	0	0	0	0	0	0	0	1	0	0	
440	abbaiare alla luna	parlare con te è come abbaiare alla luna	idiom	0	0	0	0	0	0	0	0	0	0	2	
457	Acchiappare farfalle	Hai passato una vita ad acchiappare con tuo marito farfalle	idiom	0	0	0	0	0	0	0	0	0	0	0	
470	Andare a gonfie vele	Ho notato che il tuo nuovo progetto sta andando a gonfie vele	idiom	0	0	0	0	0	0	0	0	0	0	2	
477	Buttare giù	Anche se non sei dell'umore giusto dovresti sforzarti di buttare giù qualcosa	idiom	0	0	0	0	0	0	0	0	0	0	1	
478	Buttare giù	Butta giù quel gioco e vieni qui!	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
490	Buttare giù	Dovresti buttarti giù	nonidiom	0	0	0	1	0	0	0	0	0	0	0	
495	Buttare giù	Ho buttato giù la pizza in due bocconi.	idiom	0	0	0	0	0	0	0	0	0	0	1	
502	Buttare giù	Impara a non buttarti sempre giù	idiom	0	0	0	0	0	0	0	0	0	1	0	
504	Buttare giù	L'ho buttato giù in un sol boccone	idiom	0	0	0	0	0	0	0	0	0	0	2	
511	Buttare giù	Non buttarti mai giù	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
516	Buttare giù	Oggi a pranzo ho buttato giù una lasagna buonissima	idiom	0	0	0	0	0	0	0	0	0	0	0	
523	Coltivare il proprio orto	A coltivare il proprio orto si campa cent’anni	idiom	0	0	0	0	0	0	0	0	0	0	1	
527	Coltivare il proprio orto	Buongiorno a chi non vuole coltivare il proprio orto e si interessa delle faccende altrui	idiom	0	0	0	0	0	0	0	0	0	0	0	
528	Coltivare il proprio orto	Cheffftony ho scoperto chi sei, é il momento che ognuno coltivi il proprio orto E che vinca il migliore	idiom	0	0	0	0	0	0	0	0	1	0	0	
539	Coltivare il proprio orto	Coltivare o meno il proprio orto dipende dall'esigenza di materie prime	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
555	Coltivare il proprio orto	Non hanno tenuto il proprio orto con cura.	nonidiom	0	0	0	0	0	0	0	0	0	0	0	
558	Coltivare il proprio orto	Ognuno coltivi il proprio orto e smetta di indagare	idiom	0	0	0	0	0	0	0	0	0	0	2	
562	Coltivare il proprio orto	Richiede impegno e passione coltivare ogni giorno il proprio orto	nonidiom	0	0	0	0	0	0	0	0	0	0	2	
571	Coltivare il proprio orto	Spero che lui coltivi il proprio orto senza impicciarsi dei miei affari	idiom	0	0	0	0	0	0	0	0	0	0	1	
597	Gettare la spugna	Basta, non gettare ancora una volta la spugna	idiom	0	0	0	0	0	0	0	0	0	0	0	
611	Gettare la spugna	Cheffftony se mi dici chi sei getterò la spugna	idiom	0	0	0	0	0	0	0	0	1	0	0	
624	Gettare la spugna	Dodiom, ti prego, non gettare mai la spugna!	idiom	0	0	0	0	0	0	0	0	1	0	0	
